"","id","name","year_official","month_first_rating","year_first_rating","month_available","year_available"
"1",174430,"Gloomhaven",2017,9,2015,1,2017
"2",224517,"Brass: Birmingham",2018,4,2017,7,2018
"3",161936,"Pandemic Legacy: Season 1",2015,7,2014,10,2015
"4",342942,"Ark Nova",2021,7,2021,10,2021
"5",233078,"Twilight Imperium: Fourth Edition",2017,8,2017,8,2017
"6",167791,"Terraforming Mars",2016,11,2014,8,2016
"7",291457,"Gloomhaven: Jaws of the Lion",2020,10,2019,6,2020
"8",187645,"Star Wars: Rebellion",2016,11,2015,3,2016
"9",115746,"War of the Ring: Second Edition",2011,10,2012,10,2012
"10",162886,"Spirit Island",2017,8,2014,7,2017
"11",220308,"Gaia Project",2017,2,2017,10,2017
"12",182028,"Through the Ages: A New Story of Civilization",2015,8,2015,10,2015
"13",316554,"Dune: Imperium",2020,8,2020,11,2020
"14",193738,"Great Western Trail",2016,6,2016,10,2016
"15",12333,"Twilight Struggle",2005,1,2006,1,2006
"16",169786,"Scythe",2016,7,2015,4,2016
"17",84876,"The Castles of Burgundy",2011,10,2010,2,2011
"18",167355,"Nemesis",2018,2,2016,11,2018
"19",173346,"7 Wonders Duel",2015,5,2015,10,2015
"20",28720,"Brass: Lancashire",2007,5,2007,10,2007
"21",124361,"Concordia",2013,5,2012,10,2013
"22",177736,"A Feast for Odin",2016,1,2016,10,2016
"23",120677,"Terra Mystica",2012,5,2012,10,2012
"24",246900,"Eclipse: Second Dawn for the Galaxy",2020,2,2018,2,2020
"25",266507,"Clank!: Legacy – Acquisitions Incorporated",2019,12,2018,10,2019
"26",266192,"Wingspan",2019,11,2018,12,2018
"27",205637,"Arkham Horror: The Card Game",2016,8,2016,10,2016
"28",237182,"Root",2018,11,2017,7,2018
"29",312484,"Lost Ruins of Arnak",2020,7,2020,9,2020
"30",164928,"Orléans",2014,10,2014,10,2014
"31",199792,"Everdell",2018,1,2018,7,2018
"32",183394,"Viticulture Essential Edition",2015,9,2015,12,2015
"33",96848,"Mage Knight Board Game",2011,9,2011,10,2011
"34",251247,"Barrage",2019,5,2018,6,2019
"35",175914,"Food Chain Magnate",2015,5,2015,10,2015
"36",285774,"Marvel Champions: The Card Game",2019,8,2019,8,2019
"37",192135,"Too Many Bones",2017,2,2016,2,2017
"38",3076,"Puerto Rico",2002,4,2002,4,2002
"39",324856,"The Crew: Mission Deep Sea",2021,12,2020,3,2021
"40",102794,"Caverna: The Cave Farmers",2013,5,2012,10,2013
"41",256960,"Pax Pamir: Second Edition",2019,8,2018,6,2019
"42",170216,"Blood Rage",2015,1,2015,8,2015
"43",31260,"Agricola",2007,10,2007,10,2007
"44",247763,"Underwater Cities",2018,7,2018,10,2018
"45",185343,"Anachrony",2017,3,2016,2,2017
"46",221107,"Pandemic Legacy: Season 2",2017,3,2017,10,2017
"47",205059,"Mansions of Madness: Second Edition",2016,7,2016,8,2016
"48",276025,"Maracaibo",2019,4,2019,10,2019
"49",184267,"On Mars",2020,1,2017,10,2019
"50",295947,"Cascadia",2021,12,2019,7,2021
"51",284083,"The Crew: The Quest for Planet Nine",2019,8,2019,10,2019
"52",126163,"Tzolk'in: The Mayan Calendar",2012,6,2012,10,2012
"53",2651,"Power Grid",2004,11,2001,7,2003
"54",341169,"Great Western Trail (Second Edition)",2021,7,2021,8,2021
"55",521,"Crokinole",1876,8,2001,5,2001
"56",314040,"Pandemic Legacy: Season 0",2020,7,2020,7,2020
"57",216132,"Clans of Caledonia",2017,1,2017,9,2017
"58",161533,"Lisboa",2017,11,2014,6,2017
"59",164153,"Star Wars: Imperial Assault",2014,8,2014,11,2014
"60",35677,"Le Havre",2008,9,2008,10,2008
"61",244521,"The Quacks of Quedlinburg",2018,2,2018,4,2018
"62",55690,"Kingdom Death: Monster",2015,2,2013,9,2015
"63",209010,"Mechs vs. Minions",2016,9,2016,10,2016
"64",125153,"The Gallerist",2015,6,2012,10,2015
"65",266810,"Paladins of the West Kingdom",2019,12,2018,9,2019
"66",124742,"Android: Netrunner",2012,5,2012,8,2012
"67",230802,"Azul",2017,9,2017,10,2017
"68",284378,"Kanban EV",2020,8,2019,11,2020
"69",72125,"Eclipse",2011,11,2010,10,2011
"70",191189,"Aeon's End",2016,3,2016,10,2016
"71",28143,"Race for the Galaxy",2007,3,2007,11,2007
"72",255984,"Sleeping Gods",2021,2,2019,12,2020
"73",25613,"Through the Ages: A Story of Civilization",2006,10,2006,10,2006
"74",201808,"Clank!: A Deck-Building Adventure",2016,6,2016,8,2016
"75",182874,"Grand Austria Hotel",2015,9,2015,10,2015
"76",157354,"Five Tribes",2014,4,2014,8,2014
"77",180263,"The 7th Continent",2017,7,2015,7,2017
"78",159675,"Fields of Arle",2014,9,2014,10,2014
"79",200680,"Agricola (Revised Edition)",2016,5,2016,5,2016
"80",229853,"Teotihuacan: City of Gods",2018,3,2018,8,2018
"81",121921,"Robinson Crusoe: Adventures on the Cursed Island",2012,9,2012,10,2012
"82",171623,"The Voyages of Marco Polo",2015,2,2015,3,2015
"83",110327,"Lords of Waterdeep",2012,2,2012,3,2012
"84",68448,"7 Wonders",2010,4,2010,10,2010
"85",62219,"Dominant Species",2010,9,2010,9,2010
"86",264220,"Tainted Grail: The Fall of Avalon",2019,11,2018,10,2019
"87",236457,"Architects of the West Kingdom",2018,2,2018,10,2018
"88",253344,"Cthulhu: Death May Die",2019,5,2018,10,2019
"89",93,"El Grande",1995,5,2001,5,2001
"90",317985,"Beyond the Sun",2020,10,2020,11,2020
"91",122515,"Keyflower",2012,3,2012,10,2012
"92",18602,"Caylus",2005,10,2005,10,2005
"93",37111,"Battlestar Galactica: The Board Game",2008,8,2008,8,2008
"94",172386,"Mombasa",2015,4,2015,10,2015
"95",40834,"Dominion: Intrigue",2009,3,2009,5,2009
"96",73439,"Troyes",2010,10,2010,10,2010
"97",170042,"Raiders of the North Sea",2015,4,2015,11,2015
"98",146021,"Eldritch Horror",2013,8,2013,11,2013
"99",269385,"The Lord of the Rings: Journeys in Middle-Earth",2019,1,2019,3,2019
"100",42,"Tigris & Euphrates",1997,5,2001,5,2001
"101",203993,"Lorenzo il Magnifico",2016,9,2016,10,2016
"102",12493,"Twilight Imperium: Third Edition",2005,12,2004,2,2005
"103",225694,"Decrypto",2018,4,2017,2,2018
"104",231733,"Obsession",2018,10,2017,9,2018
"105",155821,"Inis",2016,6,2014,10,2016
"106",144733,"Russian Railroads",2013,8,2013,10,2013
"107",163412,"Patchwork",2014,8,2014,10,2014
"108",205896,"Rising Sun",2018,8,2016,11,2017
"109",279537,"The Search for Planet X",2020,5,2019,5,2020
"110",163068,"Trickerion: Legends of Illusion",2015,10,2014,10,2015
"111",102680,"Trajan",2011,8,2011,10,2011
"112",281259,"The Isle of Cats",2019,6,2019,1,2020
"113",36218,"Dominion",2008,5,2008,6,2008
"114",233371,"Clank! In! Space!: A Deck-Building Adventure",2017,8,2017,8,2017
"115",218417,"Aeon's End: War Eternal",2017,2,2017,9,2017
"116",178900,"Codenames",2015,6,2015,6,2015
"117",175640,"Vinhos: Deluxe Edition",2016,9,2015,10,2016
"118",132531,"Roll for the Galaxy",2014,11,2012,11,2014
"119",172287,"Champions of Midgard",2015,7,2015,10,2015
"120",196340,"Yokohama",2016,5,2016,2,2017
"121",198928,"Pandemic: Iberia",2016,7,2016,10,2016
"122",263918,"Cartographers",2019,1,2019,5,2019
"123",175155,"Forbidden Stars",2015,3,2015,6,2015
"124",30549,"Pandemic",2008,11,2007,2,2008
"125",266524,"PARKS",2019,1,2019,8,2019
"126",262712,"Res Arcana",2019,11,2018,2,2019
"127",4098,"Age of Steam",2002,11,2002,3,2003
