"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2001,5,7,1,7,NA,NA,NA,7,1,0,0,0,1,1,1,0,0,0,1,7,7,NA,NA,NA,7,0
"2",2001,6,7.78333333333333,6,7.675,8,NA,8.4,7.16666666666667,4,2,0,3,3,7,5,2,0,3,4,7.67142857142857,7.54,8,NA,8.4,7.125,1
"3",2001,7,7,2,7,NA,NA,7,7,2,0,0,1,1,9,7,2,0,4,5,7.52222222222222,7.38571428571429,8,NA,8.05,7.1,2
"4",2001,8,6.66666666666667,3,7,6.5,NA,NA,6.66666666666667,1,2,0,0,3,12,8,4,0,4,8,7.30833333333333,7.3375,7.25,NA,8.05,6.9375,3
"5",2001,10,8,1,8,NA,NA,NA,8,1,0,0,0,1,13,9,4,0,4,9,7.36153846153846,7.41111111111111,7.25,NA,8.05,7.05555555555556,5
"6",2001,11,7.5,4,7.5,NA,NA,7.5,7.5,4,0,0,2,2,17,13,4,0,6,11,7.39411764705882,7.43846153846154,7.25,NA,7.86666666666667,7.13636363636364,6
"7",2002,1,7.5,4,7.66666666666667,7,NA,NA,7.5,3,1,0,0,4,21,16,5,0,6,15,7.41428571428571,7.48125,7.2,NA,7.86666666666667,7.23333333333333,8
"8",2002,2,7.5,2,7.5,NA,NA,6,9,2,0,0,1,1,23,18,5,0,7,16,7.42173913043478,7.48333333333333,7.2,NA,7.6,7.34375,9
"9",2002,4,7,2,7,NA,NA,NA,7,2,0,0,0,2,25,20,5,0,7,18,7.388,7.435,7.2,NA,7.6,7.30555555555556,11
"10",2002,6,7,3,8,5,NA,6.5,8,2,1,0,2,1,28,22,6,0,9,19,7.34642857142857,7.48636363636364,6.83333333333333,NA,7.35555555555556,7.34210526315789,13
