"","ID","Name","Year","Rank","Average","Bayes.average","Users.rated"
"1",174430,"Gloomhaven",2017,1,8.7,8.471,51919
"2",224517,"Brass: Birmingham",2018,2,8.66,8.43,30415
"3",161936,"Pandemic Legacy: Season 1",2015,3,8.57,8.424,47492
"4",291457,"Gloomhaven: Jaws of the Lion",2020,4,8.59,8.256,22070
"5",167791,"Terraforming Mars",2016,5,8.4,8.255,81336
"6",342942,"Ark Nova",2021,6,8.64,8.255,15566
"7",233078,"Twilight Imperium: Fourth Edition",2017,7,8.64,8.246,18095
"8",187645,"Star Wars: Rebellion",2016,8,8.42,8.168,27513
"9",220308,"Gaia Project",2017,9,8.44,8.164,21693
"10",162886,"Spirit Island",2017,10,8.37,8.151,37649
"11",115746,"War of the Ring: Second Edition",2011,11,8.52,8.149,17054
"12",182028,"Through the Ages: A New Story of Civilization",2015,12,8.35,8.124,27422
"13",193738,"Great Western Trail",2016,13,8.28,8.108,35690
"14",12333,"Twilight Struggle",2005,14,8.27,8.1,44698
"15",316554,"Dune: Imperium",2020,15,8.34,8.068,23853
"16",169786,"Scythe",2016,16,8.2,8.045,70112
"17",84876,"The Castles of Burgundy",2011,17,8.13,8.007,53940
"18",167355,"Nemesis",2018,18,8.35,7.982,21540
"19",173346,"7 Wonders Duel",2015,19,8.1,7.979,76559
"20",28720,"Brass: Lancashire",2007,20,8.19,7.966,22026
"21",124361,"Concordia",2013,21,8.12,7.965,34195
"22",177736,"A Feast for Odin",2016,22,8.2,7.955,22913
"23",120677,"Terra Mystica",2012,23,8.11,7.947,43655
"24",266192,"Wingspan",2019,24,8.09,7.935,66282
"25",205637,"Arkham Horror: The Card Game",2016,25,8.15,7.921,36453
"26",266507,"Clank!: Legacy – Acquisitions Incorporated",2019,26,8.63,7.908,6426
"27",246900,"Eclipse: Second Dawn for the Galaxy",2020,27,8.58,7.908,7801
"28",237182,"Root",2018,28,8.09,7.892,37160
"29",183394,"Viticulture Essential Edition",2015,29,8.04,7.881,39240
"30",164928,"Orléans",2014,30,8.07,7.879,26597
"31",199792,"Everdell",2018,31,8.08,7.879,36297
"32",312484,"Lost Ruins of Arnak",2020,32,8.1,7.875,26054
"33",96848,"Mage Knight Board Game",2011,33,8.09,7.87,30564
"34",175914,"Food Chain Magnate",2015,34,8.1,7.832,16959
"35",251247,"Barrage",2019,35,8.22,7.824,11743
"36",285774,"Marvel Champions: The Card Game",2019,36,8.19,7.821,17316
"37",3076,"Puerto Rico",2002,37,7.95,7.817,67107
"38",102794,"Caverna: The Cave Farmers",2013,38,7.99,7.81,31043
"39",192135,"Too Many Bones",2017,39,8.4,7.808,9062
"40",170216,"Blood Rage",2015,40,7.97,7.799,40528
