"","ID","Name","Year","Rank","Average","Bayes.average","Users.rated"
"1",174430,"Gloomhaven",2017,1,8.71,8.475,51433
"2",161936,"Pandemic Legacy: Season 1",2015,2,8.58,8.427,47202
"3",224517,"Brass: Birmingham",2018,3,8.66,8.427,29727
"4",291457,"Gloomhaven: Jaws of the Lion",2020,4,8.6,8.26,21379
"5",167791,"Terraforming Mars",2016,5,8.4,8.257,80493
"6",233078,"Twilight Imperium: Fourth Edition",2017,6,8.65,8.246,17822
"7",342942,"Ark Nova",2021,7,8.65,8.225,13462
"8",187645,"Star Wars: Rebellion",2016,8,8.42,8.168,27267
"9",220308,"Gaia Project",2017,9,8.45,8.164,21395
"10",162886,"Spirit Island",2017,10,8.37,8.149,36963
